id_campo,etiqueta,descripcion,tipo,orden_de_calculo,formula,origen,formato,unidades,visualizable,comparable,en_mv,en_localidades
plazas_vv_turisticas_porc_max,Máximo para Porcentaje de plazas vacacionales en zonas turísticas,Máximo para Porcentaje de plazas vacacionales en zonas turísticas,maximo,320,max(plazas_vv_turisticas_porc) | Excluyendo valores 100,,porcentaje_2,,f,f,f,f
plazas_at_residenciales_porc_max,Máximo para Porcentaje de plazas regladas en zonas residenciales,Máximo para Porcentaje de plazas regladas en zonas residenciales,maximo,325,max(plazas_at_residenciales_porc) | Excluyendo valores 100,,porcentaje_2,,f,f,f,f
plazas_at_turisticas_porc_max,Máximo para Porcentaje de plazas regladas en zonas turísticas,Máximo para Porcentaje de plazas regladas en zonas turísticas,maximo,330,max(plazas_at_turisticas_porc) | Excluyendo valores 100,,porcentaje_2,,f,f,f,f
pte_v_porc_max,Máximo para Porcentaje de población turística equivalente vacacional sobre PTE,Máximo para Porcentaje de población turística equivalente vacacional sobre PTE,maximo,335,max(pte_v_porc) | Excluyendo valores 100,,porcentaje_2,,f,f,f,f
pte_r_porc_max,Máximo para Porcentaje de población turística equivalente reglada sobre PTE,Máximo para Porcentaje de población turística equivalente reglada sobre PTE,maximo,340,max(pte_r_porc) | Excluyendo valores 100,,porcentaje_2,,f,f,f,f
pte_v_total_poblacion_porc_max,Máximo para Porcentaje de población turística equivalente vacacional sobre población total,Máximo para Porcentaje de población turística equivalente vacacional sobre población total,maximo,345,max(pte_v_total_poblacion_porc) | Excluyendo valores 100,,porcentaje_2,,f,f,f,f
pte_r_total_poblacion_porc_max,Máximo para Porcentaje de población turística equivalente reglada sobre población total,Máximo para Porcentaje de población turística equivalente reglada sobre población total,maximo,350,max(pte_r_total_poblacion_porc) | Excluyendo valores 100,,porcentaje_2,,f,f,f,f
poblacion_total_poblacion_porc_max,Máximo para Porcentaje de población censada sobre población total,Máximo para Porcentaje de población censada sobre población total,maximo,355,max(poblacion_total_poblacion_porc),,porcentaje_2,,f,f,f,f
viviendas_vacias_viviendas_total_max,Máximo para Presión de la vivienda vacía,Máximo para Presión de la vivienda vacía,maximo,360,max(viviendas_vacias_viviendas_total),,porcentaje_2,,f,f,f,f
viviendas_esporadicas_viviendas_total_max,Máximo para Presión de la vivienda ocasional,Máximo para Presión de la vivienda ocasional,maximo,365,max(viviendas_esporadicas_viviendas_total),,porcentaje_2,,f,f,f,f
viviendas_habituales_viviendas_total_max,Máximo para Disponibilidad de viviendas habituales,Máximo para Disponibilidad de viviendas habituales,maximo,370,max(viviendas_habituales_viviendas_total),,porcentaje_2,,f,f,f,f
plazas_vacacionales_plazas_total_porc_max,Máximo para Peso de la oferta vacacional,Máximo para Peso de la oferta vacacional,maximo,375,max(plazas_vacacionales_plazas_total_porc) | Excluyendo valores 100,,porcentaje_2,,f,f,f,f
plazas_regladas_plazas_total_porc_max,Máximo para Peso de la oferta reglada,Máximo para Peso de la oferta reglada,maximo,380,max(plazas_regladas_plazas_total_porc) | Excluyendo valores 100,,porcentaje_2,,f,f,f,f
rit_km2_presion_humana_km2_max,Máximo para Peso de la población turística equivalente en la presión humana,Máximo para Peso de la población turística equivalente en la presión humana,maximo,385,max(rit_km2_presion_humana_km2),,porcentaje_2,,f,f,f,f
residentes_km2_presion_humana_km2_max,Máximo para Peso de la población residente en la presión humana,Máximo para Peso de la población residente en la presión humana,maximo,390,max(residentes_km2_presion_humana_km2),,porcentaje_2,,f,f,f,f
plazas_at_residenciales_oferta_en_residencial_max,Máximo para Peso de la oferta reglada en zonas residenciales,Máximo para Peso de la oferta reglada en zonas residenciales,maximo,395,max(plazas_at_residenciales_oferta_en_residencial) | Excluyendo valores 100,,porcentaje_2,,f,f,f,f
plazas_vv_residenciales_oferta_en_residencial_max,Máximo para Peso de la oferta vacacional en zonas turísticas,Máximo para Peso de la oferta vacacional en zonas turísticas,maximo,400,max(plazas_vv_residenciales_oferta_en_residencial) | Excluyendo valores 100,,porcentaje_2,,f,f,f,f
plazas_suelo_residencial_porc_max,Máximo para Desplazamiento de la actividad turística a zonas residenciales,Máximo para Desplazamiento de la actividad turística a zonas residenciales,maximo,405,max(plazas_suelo_residencial_porc) | Excluyendo valores 100,,porcentaje_2,,f,f,f,f
plazas_suelo_turistico_porc_max,Máximo para Actividad turística en zonas turísticas,Máximo para Actividad turística en zonas turísticas,maximo,410,max(plazas_suelo_turistico_porc) | Excluyendo valores 100,,porcentaje_2,,f,f,f,f
rit_r_avg,Media para RIT reglada,Media para RIT reglada,media,415,avg(rit_r),,decimal_2,,f,f,f,f
rit_v_avg,Media para RIT vacacional,Media para RIT vacacional,media,420,avg(rit_v),,decimal_2,,f,f,f,f
rit_avg,Media para Ratio de Intensidad Turística,Media para Ratio de Intensidad Turística,media,425,avg(rit),,decimal_2,,f,f,f,f
rit_r_km2_avg,Media para RIT reglada / km²,Media para RIT reglada / km²,media,430,avg(rit_r_km2),,decimal_2,,f,f,f,f
rit_v_km2_avg,Media para RIT vacacional / km²,Media para RIT vacacional / km²,media,435,avg(rit_v_km2),,decimal_2,,f,f,f,f
rit_km2_avg,Media para RIT / km²,Media para RIT / km²,media,440,avg(rit_km2),,decimal_2,,f,f,f,f
residentes_km2_avg,Media para Residentes / km² ,Media para Residentes / km² ,media,445,avg(residentes_km2),,decimal_2,,f,f,f,f
presion_humana_km2_avg,Media para Presión humana /km² ,Media para Presión humana /km² ,media,450,avg(presion_humana_km2),,decimal_2,,f,f,f,f
vacacional_por_viviendas_habituales_avg,Media para Presión de viviendas vacacionales sobre habituales,Media para Presión de viviendas vacacionales sobre habituales,media,455,avg(vacacional_por_viviendas_habituales),,porcentaje_2,,f,f,f,f
vacacional_por_viviendas_total_avg,Media para Presión de viviendas vacacionales sobre el total de viviendas,Media para Presión de viviendas vacacionales sobre el total de viviendas,media,460,avg(vacacional_por_viviendas_total),,porcentaje_2,,f,f,f,f
uds_vv_habitantes_avg,Media para Vacacionales cada 100 habitantes,Media para Vacacionales cada 100 habitantes,media,465,avg(uds_vv_habitantes),,decimal_2,,f,f,f,f
uds_vv_residenciales_habitantes_avg,Media para Vacacionales en zonas residenciales por cada 100 habitantes,Media para Vacacionales en zonas residenciales por cada 100 habitantes,media,470,avg(uds_vv_residenciales_habitantes),,porcentaje_2,,f,f,f,f
deficit_oferta_viviendas_avg,Media para Ratio de déficit teórico de viviendas,Media para Ratio de déficit teórico de viviendas,media,475,avg(deficit_oferta_viviendas),,decimal_2,,f,f,f,f
uds_vv_residenciales_porc_avg,Media para Porcentaje de viviendas vacacionales en zonas residenciales,Media para Porcentaje de viviendas vacacionales en zonas residenciales,media,480,avg(uds_vv_residenciales_porc),,porcentaje_2,,f,f,f,f
